No.,Project,Location,year,month,sample
1,Tokyo,Shinkiba,2023,8,SKIBA_8
2,Tokyo,Shinkiba,2023,9,SKIBA_9
3,Tokyo,Shinkiba,2023,10,SKIBA_10
4,Tokyo,Shinkiba,2023,11,SKIBA_11
5,Tokyo,Shinkiba,2023,12,SKIBA_12
6,Tokyo,Wakasu,2023,8,Wakasu_8
7,Tokyo,Wakasu,2023,9,Wakasu_9
8,Tokyo,Wakasu,2023,10,Wakasu_10
9,Tokyo,Wakasu,2023,11,Wakasu_11
10,Tokyo,Wakasu,2023,12,Wakasu_12
